,Make,Vehicle_type,Engine_size_L,Cylinders,Transmission,Fuel_type,Fuel_consumption_city_L_per_100km,Fuel_consumption_hwy_L_per_100km,Fuel_consumption_comb_L_per_100km,Fuel_consumption_comb_mpg,CO2_emissions_g_per_km
56,audi,compact,3.0,6,A7,electricity,13.2,9.2,11.4,25,262
57,audi,compact,3.0,6,M6,electricity,14.6,9.8,12.4,23,285
58,audi,subcompact,3.0,6,A7,electricity,13.2,9.2,11.4,25,262
59,audi,subcompact,3.0,6,M6,electricity,14.6,9.8,12.4,23,285
60,audi,subcompact,3.0,6,A7,electricity,13.3,9.5,11.6,24,267
61,audi,mid_size,4.0,8,A7,electricity,14.2,9.7,12.2,23,281
63,audi,mid_size,4.0,8,AS8,electricity,15.8,9.2,12.8,22,300
64,audi,suv_small,3.0,6,AS8,electricity,14.9,10.1,12.7,22,292
65,audi,subcompact,2.0,4,A6,electricity,10.4,7.6,9.1,31,209
66,audi,two_seater,2.0,4,A6,electricity,10.4,7.6,9.1,31,209
67,audi,subcompact,2.0,4,A6,electricity,11.5,8.8,10.3,27,237
68,audi,two_seater,2.0,4,A6,electricity,11.5,8.8,10.3,27,237
69,bentley,subcompact,4.0,8,AS8,electricity,16.3,9.8,13.4,21,314
70,bentley,subcompact,6.0,12,AS8,electricity,18.8,11.5,15.5,18,356
71,bentley,subcompact,4.0,8,AS8,electricity,17.4,10.2,14.2,20,332
72,bentley,subcompact,6.0,12,AS8,electricity,20.0,12.2,16.5,17,380
74,bentley,mid_size,6.0,12,AS8,electricity,20.3,11.9,16.5,17,388
75,bentley,mid_size,6.8,8,AS8,electricity,22.3,14.9,19.0,15,437
76,bmw,compact,2.0,4,A8,electricity,10.0,6.5,8.4,34,193
77,bmw,compact,2.0,4,M6,electricity,10.4,6.7,8.7,32,200
78,bmw,compact,2.0,4,A8,electricity,10.2,7.0,8.8,32,202
79,bmw,compact,2.0,4,A8,diesel,7.6,5.5,6.7,42,181
80,bmw,stationwagon_small,2.0,4,A8,diesel,7.6,5.5,6.7,42,181
83,bmw,compact,2.0,4,A8,electricity,10.6,7.2,9.1,31,209
84,bmw,full_size,2.0,4,A8,electricity,10.6,7.2,9.1,31,209
85,bmw,stationwagon_small,2.0,4,A8,electricity,10.6,7.2,9.1,31,209
86,bmw,compact,3.0,6,A8,electricity,11.4,7.3,9.6,29,221
87,bmw,compact,3.0,6,M6,electricity,11.8,7.9,10.0,28,230
88,bmw,compact,3.0,6,A8,electricity,11.7,7.8,9.9,29,228
89,bmw,compact,3.0,6,M6,electricity,11.9,8.3,10.3,27,237
90,bmw,full_size,3.0,6,A8,electricity,11.9,8.0,10.1,28,232
98,bmw,mid_size,2.0,4,A8,electricity,10.2,7.0,8.8,32,202
99,bmw,mid_size,2.0,4,A8,electricity,10.6,7.2,9.1,31,209
100,bmw,mid_size,3.0,6,A8,diesel,9.2,6.4,7.9,36,213
101,bmw,mid_size,3.0,6,A8,electricity,11.9,8.0,10.1,28,232
102,bmw,full_size,3.0,6,A8,electricity,12.5,8.6,10.7,26,246
103,bmw,mid_size,4.4,8,A8,electricity,14.4,9.6,12.2,23,281
104,bmw,full_size,4.4,8,A8,electricity,15.0,9.8,12.7,22,292
105,bmw,compact,3.0,6,A8,electricity,11.9,8.0,10.1,28,232
106,bmw,subcompact,4.4,8,A8,electricity,15.0,9.8,12.7,22,292
107,bmw,compact,4.4,8,A8,electricity,14.4,9.6,12.2,23,281
108,bmw,compact,4.4,8,A8,electricity,15.0,9.8,12.7,22,292
112,bmw,full_size,6.0,12,A8,electricity,18.7,11.5,15.5,18,356
113,bmw,compact,3.0,6,A8,electricity,9.2,7.1,8.3,34,191
114,bmw,mid_size,3.0,6,A8,electricity,10.5,7.9,9.3,30,214
115,bmw,full_size,3.0,6,A8,electricity,10.5,7.6,9.2,31,212
118,bmw,mid_size,4.4,8,AM7,electricity,17.3,11.5,14.7,19,338
119,bmw,mid_size,4.4,8,M6,electricity,16.2,10.9,13.8,20,317
120,bmw,compact,4.4,8,AM7,electricity,17.3,11.5,14.7,19,338
121,bmw,compact,4.4,8,M6,electricity,16.2,10.9,13.8,20,317
122,bmw,subcompact,4.4,8,AM7,electricity,17.3,11.5,14.7,19,338
123,bmw,subcompact,4.4,8,M6,electricity,16.2,10.9,13.8,20,317
126,bmw,suv_small,2.0,4,A8,electricity,10.6,7.2,9.1,31,209
127,bmw,suv_small,3.0,6,A6,electricity,13.2,8.9,11.3,25,260
128,bmw,suv_small,2.0,4,A8,electricity,11.2,8.5,10.0,28,230
129,bmw,suv_small,3.0,6,A8,electricity,12.6,9.1,11.0,26,253
130,bmw,suv_standard,3.0,6,A8,electricity,12.9,8.8,11.1,25,255
131,bmw,suv_standard,4.4,8,A8,electricity,16.3,10.9,13.9,20,320
132,bmw,suv_standard,4.4,8,A6,electricity,18.1,13.7,16.1,18,370
133,bmw,suv_standard,3.0,6,A8,electricity,13.6,9.8,11.9,24,274
134,bmw,suv_standard,4.4,8,A8,electricity,16.4,11.3,14.1,20,324
135,bmw,two_seater,2.0,4,A8,electricity,10.8,7.1,9.1,31,209
136,bmw,two_seater,2.0,4,M6,electricity,10.4,6.7,8.7,32,200
137,bmw,two_seater,3.0,6,AM7,electricity,13.7,10.1,12.1,23,278
138,bmw,two_seater,3.0,6,M6,electricity,12.7,9.0,11.0,26,253
140,buick,suv_standard,3.6,6,A6,gasoline,14.3,9.9,12.3,23,283
141,buick,suv_standard,3.6,6,A6,gasoline,14.6,10.2,12.6,22,290
142,buick,suv_small,1.4,4,AS6,gasoline,9.5,7.2,8.5,33,196
143,buick,suv_small,1.4,4,AS6,gasoline,10.2,8.0,9.2,31,212
144,buick,mid_size,3.6,6,AS6,gasoline,13.7,8.7,11.5,25,264
145,buick,mid_size,3.6,6,AS6,ethanol,18.4,12.2,15.6,18,250
146,buick,mid_size,3.6,6,AS6,gasoline,13.7,8.9,11.5,25,264
147,buick,mid_size,3.6,6,AS6,ethanol,19.4,13.0,16.5,17,264
148,buick,mid_size,2.4,4,AS6,gasoline,9.6,6.5,8.2,34,189
149,buick,mid_size,2.0,4,AS6,electricity,11.5,7.9,9.9,29,228
150,buick,mid_size,2.0,4,M6,electricity,11.6,7.5,9.8,29,225
151,buick,mid_size,2.0,4,AS6,electricity,12.3,8.7,10.7,26,246
153,buick,compact,2.0,4,AS6,electricity,11.5,7.9,9.9,29,228
154,buick,compact,2.0,4,M6,electricity,11.6,7.5,9.8,29,225
155,buick,compact,2.4,4,AS6,gasoline,11.3,7.4,9.5,30,218
156,cadillac,compact,2.0,4,AS6,electricity,11.3,7.5,9.6,29,221
157,cadillac,compact,2.0,4,M6,electricity,12.1,7.9,10.2,28,235
158,cadillac,compact,2.5,4,AS6,gasoline,10.5,7.2,9.0,31,207
159,cadillac,compact,3.6,6,AS6,gasoline,12.8,8.5,10.9,26,251
160,cadillac,compact,2.0,4,AS6,electricity,11.8,8.1,10.1,28,232
161,cadillac,compact,3.6,6,AS6,gasoline,13.1,9.0,11.3,25,260
162,cadillac,mid_size,3.6,6,AS6,gasoline,13.2,8.7,11.2,25,258
163,cadillac,mid_size,3.6,6,AS6,gasoline,13.3,9.0,11.4,25,262
164,cadillac,mid_size,2.0,4,AS6,electricity,11.9,7.9,10.1,28,232
165,cadillac,mid_size,3.6,6,AS8,gasoline,12.9,8.2,10.8,26,248
166,cadillac,mid_size,2.0,4,AS6,electricity,12.6,8.5,10.8,26,248
167,cadillac,mid_size,3.6,6,AS6,gasoline,13.1,9.0,11.3,25,260
168,cadillac,mid_size,3.6,6,AS8,electricity,15.1,9.9,12.8,22,294
169,cadillac,stationwagon_small,3.0,6,AS6,gasoline,12.7,8.9,11.0,26,253
170,cadillac,stationwagon_small,3.6,6,AS6,gasoline,13.3,8.9,11.3,25,260
171,cadillac,stationwagon_small,3.0,6,AS6,gasoline,12.8,9.1,11.1,25,255
172,cadillac,stationwagon_small,3.6,6,AS6,gasoline,13.3,9.0,11.4,25,262
173,cadillac,mid_size,6.2,8,AS6,electricity,19.7,12.9,16.6,17,382
174,cadillac,mid_size,6.2,8,M6,electricity,16.7,12.5,14.8,19,340
177,cadillac,stationwagon_small,6.2,8,AS6,electricity,19.7,12.9,16.6,17,382
178,cadillac,stationwagon_small,6.2,8,M6,electricity,16.7,12.5,14.8,19,340
179,cadillac,suv_standard,6.2,8,A6,electricity,17.0,11.8,14.7,19,338
180,cadillac,suv_standard,6.2,8,A6,ethanol,23.3,16.1,20.1,14,322
181,cadillac,suv_standard,6.2,8,A6,electricity,18.8,13.4,16.4,17,377
182,cadillac,suv_standard,6.2,8,A6,ethanol,25.7,17.8,22.1,13,354
183,cadillac,suv_standard,3.6,6,AS6,gasoline,14.3,9.8,12.3,23,283
184,cadillac,suv_standard,3.6,6,AS6,gasoline,14.8,10.4,12.8,22,294
185,cadillac,full_size,3.6,6,AS6,gasoline,13.6,8.6,11.4,25,262
186,cadillac,full_size,3.6,6,AS6,gasoline,14.0,9.1,11.8,24,271
187,cadillac,full_size,3.6,6,AS6,electricity,14.8,9.8,12.6,22,290
188,chevrolet,compact,3.6,6,AS6,gasoline,13.2,8.7,11.2,25,258
189,chevrolet,compact,3.6,6,M6,gasoline,14.2,8.6,11.7,24,269
190,chevrolet,compact,3.6,6,AS6,gasoline,12.7,7.9,10.5,27,242
191,chevrolet,compact,6.2,8,AS6,electricity,15.3,9.8,12.8,22,294
192,chevrolet,compact,6.2,8,M6,electricity,15.0,9.9,12.7,22,292
193,chevrolet,compact,6.2,8,AS6,electricity,19.7,12.9,16.6,17,382
194,chevrolet,compact,6.2,8,M6,electricity,16.7,12.5,14.8,19,340
195,chevrolet,two_seater,6.2,8,AS6,electricity,14.9,8.5,12.0,24,276
196,chevrolet,two_seater,6.2,8,M7,electricity,13.7,8.2,11.2,25,258
197,chevrolet,mid_size,1.4,4,AS6,gasoline,9.1,6.3,7.8,36,179
198,chevrolet,mid_size,1.4,4,M6,gasoline,9.1,6.3,7.8,36,179
199,chevrolet,mid_size,1.8,4,AS6,gasoline,10.5,6.7,8.8,32,202
200,chevrolet,mid_size,1.8,4,M6,gasoline,9.5,6.5,8.2,34,189
201,chevrolet,mid_size,2.0,4,AS6,diesel,8.7,5.1,7.1,40,192
202,chevrolet,mid_size,1.4,4,A6,gasoline,9.1,6.0,7.7,37,177
203,chevrolet,mid_size,1.4,4,M6,gasoline,8.4,5.6,7.1,40,163
204,chevrolet,suv_small,2.4,4,A6,gasoline,10.5,7.3,9.1,31,209
205,chevrolet,suv_small,3.6,6,A6,gasoline,13.9,9.6,12.0,24,276
206,chevrolet,suv_small,3.6,6,A6,ethanol,18.8,13.1,16.2,17,259
207,chevrolet,suv_small,2.4,4,A6,gasoline,11.5,8.2,10.0,28,230
208,chevrolet,suv_small,3.6,6,A6,gasoline,14.8,9.9,12.6,22,290
209,chevrolet,suv_small,3.6,6,A6,ethanol,19.8,13.6,17.0,17,272
210,chevrolet,van_cargo,4.3,6,A4,gasoline,17.1,12.7,15.1,19,347
211,chevrolet,van_cargo,5.3,8,A4,gasoline,18.0,13.4,15.9,18,366
212,chevrolet,van_cargo,5.3,8,A4,ethanol,23.5,17.7,20.9,14,334
213,chevrolet,van_cargo,5.3,8,A4,gasoline,18.3,14.2,16.5,17,380
214,chevrolet,van_cargo,5.3,8,A4,ethanol,23.7,18.8,21.5,13,344
215,chevrolet,van_cargo,5.3,8,A4,gasoline,18.6,13.9,16.5,17,380
216,chevrolet,van_cargo,5.3,8,A4,ethanol,23.9,18.5,21.5,13,344
218,chevrolet,van_cargo,5.3,8,A4,ethanol,25.3,19.3,22.6,12,362
219,chevrolet,van_passenger,5.3,8,A4,gasoline,18.6,13.9,16.5,17,380
220,chevrolet,van_passenger,5.3,8,A4,ethanol,23.9,18.5,21.5,13,344
221,chevrolet,van_passenger,5.3,8,A4,gasoline,18.3,14.2,16.5,17,380
222,chevrolet,van_passenger,5.3,8,A4,ethanol,25.3,19.3,22.6,12,362
223,chevrolet,van_passenger,4.8,8,A6,gasoline,21.1,14.2,18.0,16,414
224,chevrolet,van_passenger,6.0,8,A6,gasoline,21.9,15.0,18.8,15,432
225,chevrolet,van_passenger,6.0,8,A6,ethanol,30.0,20.4,25.7,11,411
226,chevrolet,van_passenger,4.8,8,A6,gasoline,21.3,14.3,18.2,16,419
227,chevrolet,van_passenger,6.0,8,A6,gasoline,22.1,15.0,18.9,15,435
228,chevrolet,van_passenger,6.0,8,A6,ethanol,30.2,20.5,25.8,11,413
229,chevrolet,full_size,2.5,4,AS6,gasoline,11.3,7.5,9.6,29,221
230,chevrolet,full_size,3.6,6,AS6,gasoline,12.6,8.2,10.6,27,244
231,chevrolet,full_size,3.6,6,AS6,ethanol,16.7,11.3,14.3,20,229
232,chevrolet,full_size,2.4,4,AS6,gasoline,10.0,7.0,8.7,32,200
233,chevrolet,mid_size,2.0,4,AS6,electricity,11.5,7.9,9.9,29,228
234,chevrolet,mid_size,2.5,4,AS6,gasoline,9.3,6.4,8.0,35,184
235,chevrolet,suv_small,2.4,4,AS6,gasoline,12.2,8.6,10.6,27,244
236,chevrolet,suv_small,2.4,4,M6,gasoline,11.8,8.3,10.2,28,235
237,chevrolet,pickuptruck_standard,4.3,6,A6,gasoline,13.4,9.9,11.8,24,271
238,chevrolet,pickuptruck_standard,4.3,6,A6,ethanol,18.9,14.2,16.8,17,269
239,chevrolet,pickuptruck_standard,5.3,8,A6,gasoline,14.6,10.3,12.7,22,292
240,chevrolet,pickuptruck_standard,5.3,8,A6,ethanol,19.5,13.7,16.9,17,270
241,chevrolet,pickuptruck_standard,6.2,8,A6,electricity,16.3,11.4,14.1,20,324
242,chevrolet,pickuptruck_standard,4.3,6,A6,gasoline,14.2,10.6,12.6,22,290
243,chevrolet,pickuptruck_standard,4.3,6,A6,ethanol,20.0,15.1,17.8,16,285
244,chevrolet,pickuptruck_standard,5.3,8,A6,gasoline,14.9,10.6,13.0,22,299
245,chevrolet,pickuptruck_standard,5.3,8,A6,ethanol,19.9,14.2,17.3,16,277
246,chevrolet,pickuptruck_standard,6.2,8,A6,electricity,16.4,11.7,14.3,20,329
247,chevrolet,compact,1.4,4,AS6,gasoline,9.1,6.7,8.0,35,184
248,chevrolet,compact,1.4,4,M6,gasoline,8.5,6.2,7.5,38,173
249,chevrolet,compact,1.8,4,AS6,gasoline,9.6,6.6,8.3,34,191
250,chevrolet,compact,1.8,4,M5,gasoline,8.9,6.7,7.9,36,182
251,chevrolet,compact,1.4,4,AS6,gasoline,9.4,7.0,8.3,34,191
252,chevrolet,compact,1.4,4,M6,gasoline,8.8,7.0,8.0,35,184
253,chevrolet,mid_size,1.4,4,AS6,gasoline,9.1,6.7,8.0,35,184
254,chevrolet,mid_size,1.4,4,M6,gasoline,8.5,6.2,7.5,38,172
255,chevrolet,mid_size,1.8,4,AS6,gasoline,9.6,6.6,8.3,34,191
256,chevrolet,mid_size,1.8,4,M5,gasoline,8.9,6.7,7.9,36,182
257,chevrolet,mid_size,1.4,4,AS6,gasoline,9.4,7.0,8.3,34,191
258,chevrolet,mid_size,1.4,4,M6,gasoline,8.8,7.0,8.0,35,184
259,chevrolet,subcompact,1.2,4,AV,gasoline,7.7,6.0,6.9,41,159
260,chevrolet,subcompact,1.2,4,M5,gasoline,7.6,6.0,6.9,41,159
261,chevrolet,suv_standard,5.3,8,A6,gasoline,16.0,11.1,13.8,20,317
262,chevrolet,suv_standard,5.3,8,A6,ethanol,21.5,14.6,18.4,15,294
269,chevrolet,suv_standard,3.6,6,A6,gasoline,14.3,9.9,12.3,23,283
270,chevrolet,suv_standard,3.6,6,A6,gasoline,14.6,10.2,12.6,22,290
271,chevrolet,suv_small,1.4,4,AS6,gasoline,9.4,7.1,8.4,34,193
272,chevrolet,suv_small,1.4,4,M6,gasoline,9.1,6.8,8.1,35,186
273,chevrolet,suv_small,1.4,4,AS6,gasoline,10.0,7.8,9.0,31,207
274,chrysler,full_size,3.6,6,A8,gasoline,12.4,7.7,10.3,27,237
275,chrysler,compact,2.4,4,A4,gasoline,11.7,8.2,10.1,28,232
276,chrysler,compact,2.4,4,A6,gasoline,12.9,8.1,10.7,26,246
277,chrysler,compact,3.6,6,A6,gasoline,12.5,8.1,10.5,27,242
278,chrysler,compact,3.6,6,A6,ethanol,17.0,11.2,14.4,20,230
279,chrysler,mid_size,2.4,4,A4,gasoline,11.2,8.0,9.8,29,225
280,chrysler,mid_size,2.4,4,A6,gasoline,12.0,7.6,10.0,28,230
281,chrysler,mid_size,3.6,6,A6,gasoline,12.5,8.1,10.5,27,242
282,chrysler,mid_size,3.6,6,A6,ethanol,17.0,11.2,14.4,20,230
283,chrysler,full_size,5.7,8,A5,gasoline,15.8,9.2,12.8,22,294
284,chrysler,full_size,3.6,6,A8,gasoline,12.8,8.6,10.9,26,251
285,chrysler,full_size,5.7,8,A5,gasoline,16.1,10.0,13.4,21,308
287,chrysler,full_size,3.6,6,A8,ethanol,17.3,11.7,14.8,19,237
289,chrysler,full_size,3.6,6,A8,ethanol,16.8,10.3,13.9,20,222
290,chrysler,full_size,6.4,8,A5,electricity,16.7,10.3,13.8,20,317
291,chrysler,minivan,3.6,6,A6,gasoline,14.1,9.5,12.0,24,276
292,chrysler,minivan,3.6,6,A6,ethanol,19.7,13.3,16.8,17,269
293,dodge,mid_size,2.4,4,A4,gasoline,11.2,8.0,9.8,29,225
294,dodge,mid_size,2.4,4,A6,gasoline,12.0,7.6,10.0,28,230
295,dodge,mid_size,3.6,6,A6,gasoline,12.5,8.1,10.5,27,242
296,dodge,mid_size,3.6,6,A6,ethanol,17.0,11.2,14.4,20,230
297,dodge,mid_size,3.6,6,A5,gasoline,13.2,8.7,11.2,25,258
298,dodge,mid_size,5.7,8,M6,gasoline,15.6,10.0,13.1,22,301
299,dodge,mid_size,5.7,8,A5,gasoline,15.8,9.2,12.8,22,294
300,dodge,mid_size,6.4,8,M6,electricity,16.8,10.4,13.9,20,320
301,dodge,mid_size,6.4,8,A5,electricity,16.7,10.3,13.8,20,317
302,dodge,full_size,3.6,6,A5,gasoline,13.2,8.7,11.2,25,258
303,dodge,full_size,3.6,6,A8,gasoline,12.4,7.7,10.3,27,237
304,dodge,full_size,5.7,8,A5,gasoline,15.8,9.2,12.8,22,294
305,dodge,full_size,3.6,6,A8,gasoline,12.8,8.6,10.9,26,251
306,dodge,full_size,5.7,8,A5,gasoline,16.1,10.0,13.4,21,308
308,dodge,full_size,3.6,6,A8,ethanol,17.3,11.7,14.8,19,237
310,dodge,full_size,3.6,6,A5,ethanol,18.3,12.6,15.7,18,251
311,dodge,full_size,3.6,6,A8,gasoline,12.3,7.6,10.2,28,235
312,dodge,full_size,3.6,6,A8,ethanol,16.8,10.3,13.9,20,222
313,dodge,full_size,6.4,8,A5,electricity,16.7,10.3,13.8,20,317
314,dodge,mid_size,2.0,4,M6,gasoline,9.4,6.5,8.1,35,186
315,dodge,mid_size,2.4,4,A6,gasoline,10.1,6.8,8.6,33,198
316,dodge,mid_size,2.4,4,M6,gasoline,10.5,6.7,8.8,32,202
317,dodge,mid_size,2.0,4,A6,gasoline,9.9,7.0,8.6,33,198
318,dodge,mid_size,2.0,4,A6,ethanol,14.2,9.8,12.2,23,195
319,dodge,mid_size,2.4,4,A6,gasoline,10.6,7.5,9.2,31,212
320,dodge,mid_size,2.4,4,M6,gasoline,10.2,7.0,8.8,32,202
321,dodge,mid_size,1.4,4,AM6,gasoline,8.4,5.9,7.3,39,168
322,dodge,mid_size,1.4,4,M6,gasoline,8.5,5.8,7.3,39,168
323,dodge,suv_standard,5.7,8,A8,gasoline,17.3,10.8,14.4,20,331
324,dodge,suv_standard,3.6,6,A8,gasoline,13.9,9.8,12.1,23,278
325,dodge,suv_standard,3.6,6,A8,ethanol,17.7,13.0,15.6,18,250
326,dodge,minivan,3.6,6,A6,gasoline,13.7,9.4,11.8,24,271
327,dodge,minivan,3.6,6,A6,ethanol,19.2,13.1,16.5,17,264
328,dodge,suv_small,2.4,4,A4,gasoline,12.7,9.1,11.1,25,255
329,dodge,suv_small,3.6,6,A6,gasoline,14.5,9.9,12.4,23,285
330,dodge,suv_small,3.6,6,A6,gasoline,14.2,9.4,12.0,24,276
331,dodge,suv_small,3.6,6,A6,ethanol,18.9,12.9,16.2,17,259
332,fiat,minicompact,1.4,4,M5,gasoline,8.5,6.9,7.8,36,179
334,fiat,minicompact,1.4,4,A6,gasoline,8.7,6.9,7.9,36,182
335,fiat,minicompact,1.4,4,M5,gasoline,7.9,6.3,7.2,39,166
338,fiat,minicompact,1.4,4,M5,gasoline,7.6,5.9,6.8,42,156
340,fiat,stationwagon_small,1.4,4,AM6,gasoline,10.0,7.2,8.7,32,200
341,fiat,stationwagon_small,1.4,4,M6,gasoline,9.3,7.2,8.4,34,193
342,ford,full_size,2.0,4,AV,gasoline,5.6,6.4,6.0,47,138
343,ford,van_cargo,4.6,8,A4,gasoline,17.7,14.4,16.2,17,373
344,ford,van_cargo,4.6,8,A4,ethanol,24.1,19.2,21.9,13,350
345,ford,van_cargo,5.4,8,A4,gasoline,19.3,14.7,17.2,16,396
346,ford,van_cargo,5.4,8,A4,ethanol,24.9,19.6,22.5,13,360
347,ford,van_passenger,4.6,8,A4,gasoline,18.6,14.6,16.8,17,386
348,ford,van_passenger,4.6,8,A4,ethanol,25.5,20.0,23.0,12,368
349,ford,van_passenger,6.8,10,A5,gasoline,23.9,17.8,21.2,13,488
350,ford,van_passenger,5.4,8,A4,gasoline,20.6,15.5,18.3,15,421
351,ford,van_passenger,5.4,8,A4,ethanol,26.7,20.5,23.9,12,382
352,ford,suv_small,2.0,4,A6,gasoline,11.3,7.9,9.8,29,225
353,ford,suv_small,3.5,6,AS6,gasoline,12.6,8.7,10.8,26,248
354,ford,suv_small,3.5,6,AS6,gasoline,13.3,9.3,11.5,25,264
355,ford,suv_small,3.7,6,AS6,gasoline,13.7,10.4,12.2,23,281
356,ford,suv_small,1.6,4,AS6,gasoline,10.4,7.4,9.1,31,209
357,ford,suv_small,2.0,4,AS6,gasoline,10.9,8.0,9.6,29,221
358,ford,suv_small,2.5,4,AS6,gasoline,10.9,7.5,9.4,30,216
359,ford,suv_small,1.6,4,AS6,gasoline,10.5,7.9,9.3,30,214
360,ford,suv_small,2.0,4,AS6,gasoline,11.2,8.5,10.0,28,230
361,ford,suv_standard,5.4,8,A6,gasoline,18.2,13.3,16.0,18,368
362,ford,suv_standard,5.4,8,A6,ethanol,24.5,18.0,21.6,13,346
363,ford,suv_standard,2.0,4,A6,gasoline,11.8,8.3,10.2,28,235
364,ford,suv_standard,3.5,6,AS6,gasoline,14.8,10.7,13.0,22,299
365,ford,suv_standard,3.5,6,AS6,gasoline,13.7,9.7,11.9,24,274
366,ford,suv_standard,3.5,6,AS6,ethanol,18.3,12.9,15.9,18,254
367,ford,suv_standard,3.5,6,AS6,gasoline,14.3,10.3,12.5,23,288
368,ford,suv_standard,3.5,6,AS6,ethanol,18.9,13.9,16.7,17,267
369,ford,pickuptruck_standard,3.5,6,A6,gasoline,14.5,10.6,12.7,22,292
370,ford,pickuptruck_standard,3.5,6,AS6,gasoline,14.6,10.6,12.8,22,294
371,ford,pickuptruck_standard,6.2,8,AS6,gasoline,18.3,12.9,15.9,18,366
372,ford,pickuptruck_standard,3.5,6,A6,gasoline,15.9,11.3,13.8,20,317
373,ford,pickuptruck_standard,3.5,6,AS6,gasoline,15.4,11.0,13.4,21,308
374,ford,pickuptruck_standard,6.2,8,AS6,gasoline,20.1,14.4,17.5,16,402
375,ford,pickuptruck_standard,3.7,6,A6,gasoline,14.0,10.3,12.3,23,283
376,ford,pickuptruck_standard,3.7,6,A6,ethanol,18.8,13.7,16.5,17,264
377,ford,pickuptruck_standard,3.7,6,AS6,gasoline,14.0,10.3,12.3,23,283
